#,Name,team,POS,Height,Birthdate,Country,Hometown,College
1,Caty Flagg,beauts,G,"5' 6""","Aug 2, 1998",USA,"Methuen, MA",UMass-Boston
3,Megan Delay,beauts,D,"5' 3""","Apr 8, 1997",Canada,"Niagara Falls, ON",SUNY-Plattsburgh/Brock University
4,Marie-Jo Pelletier,beauts,D,"4' 11""","Sep 5, 1997",Canada,"Dalhousie, NB",University of New Hampshire
5,Lenka Curmova,beauts,D,"5' 8""","Apr 18, 1997",Slovakia,"Michalovce, SVK",Comenius University in Bratislava
7,Emma Ruggiero,beauts,F,"5' 0""","Apr 12, 1997",USA,"Amherst, NY",Buffalo State College
8,Iveta Klimasova,beauts,F,"5' 8""","Jan 14, 1998",Slovakia,"Prakovce, SVK",Academy of the Police Force in Bratislava
9,Autumn Macdougall,beauts,F,"5' 1""","Jul 5, 1997",Canada,"Cole Harbour, NS",University of Alberta
10,Neve Van Pelt,beauts,F,"5' 6""","Jun 1, 1998",Canada,"Mitchell, ON",Providence College
11,Lisa Chesson,beauts,D,"5' 7""","Aug 18, 1986",USA,"Plain eld, IL",Ohio State University
12,Brooke Stacey,beauts,F,"5' 10""","Jun 28, 1996",Canada,"Kahnawake, QC",University of Maine
13,Dominique Kremer,beauts,D,"5' 6""","Jun 9, 1997",USA,"Fargo, ND",Merricack College
15,Kelly O'Sullivan,beauts,D,"5' 8""","Oct 18, 1996",USA,"Inverness, IL",Adrian College
17,Cassidy MacPherson,beauts,F,"5' 6""","Sep 23, 1997",Canada,"Oakville, ON",Providence College
21,Kayla Meneghin,beauts,F,"5' 4""","Dec 22, 1994",USA,"Clifton, NJ",SUNY Plattsburgh
23,Alyson Matteau,beauts,D,"5' 10""","Dec 17, 1997",Canada,"Montreal, QC",University of Maine
25,Kristin Lewicki,beauts,F,"5' 2""","Jun 10, 1995",USA,"Moundsville, WV",Adrian College
27,Jordan Juron,beauts,F,"5' 8""","Jun 5, 1994",USA,"Latham, NY",Boston University
31,Kelsey Neumann,beauts,G,"5' 4""","May 7, 1991",USA,"China Grove, NC",Clarkson/SUNY-Plattsburgh
70,Carly Jackson,beauts,G,"5' 5""","Jun 23, 1997",Canada,"Amherst, NS",University of Maine
77,Whitney Dove,beauts,D,"5' 5""","Mar 28, 1998",Canada,"Port Moody, BC",Providence College
